game_pk,weather_source,weather_hour_utc,temp_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction_deg,precip_mm,wind_out_to_center_ms,wind_left_to_right_ms,roof_category
824562,open-meteo-forecast,2026-08-12T23:00,23.7,95,987.7,1.51,8,0.0,0.732,1.321,open
824561,open-meteo-forecast,2026-08-13T18:00,25.4,68,992.4,3.19,58,0.0,-1.143,2.978,open
824589,open-meteo-forecast,2026-08-20T18:00,25.1,60,991.9,3.97,124,0.0,-3.965,0.208,open
824559,open-meteo-forecast,2026-08-21T23:00,31.8,53,990.1,4.16,215,0.0,-0.145,-4.157,open
824560,open-meteo-forecast,2026-08-22T23:00,19.3,63,996.0,7.18,9,0.0,3.371,6.34,open
824558,open-meteo-forecast,2026-08-23T18:00,18.8,48,995.8,6.55,16,0.0,2.347,6.115,open
824557,open-meteo-forecast,2026-08-24T23:00,18.4,52,998.8,3.18,46,0.0,-0.497,3.141,open
824556,open-meteo-forecast,2026-08-25T23:00,22.1,45,994.4,2.78,210,0.0,-0.339,-2.759,open
823832,open-meteo-forecast,2026-08-11T22:00,31.3,71,1018.3,3.98,118,0.0,-3.92,0.691,retractable
823833,open-meteo-forecast,2026-08-12T22:00,29.7,69,1017.0,3.36,240,0.0,1.259,-3.115,retractable
823829,open-meteo-forecast,2026-08-13T17:00,34.3,45,1017.4,4.39,131,0.0,-4.384,-0.23,retractable
823830,open-meteo-forecast,2026-08-21T23:00,32.0,49,1017.2,4.67,135,0.0,-4.635,-0.569,retractable
823831,open-meteo-forecast,2026-08-22T20:00,33.6,47,1017.0,5.67,99,0.0,-4.959,2.749,retractable
823827,open-meteo-forecast,2026-08-23T17:00,33.3,49,1017.0,5.22,102,0.0,-4.692,2.288,retractable
823828,open-meteo-forecast,2026-08-24T22:00,32.8,39,1014.7,5.17,133,0.0,-5.15,-0.451,retractable
823826,open-meteo-forecast,2026-08-25T22:00,32.8,52,1016.4,4.36,171,0.2,-3.189,-2.974,retractable
824886,open-meteo-forecast,2026-08-11T23:00,32.4,52,981.0,3.0,272,0.0,1.805,-2.396,open
824883,open-meteo-forecast,2026-08-12T23:00,24.7,81,977.5,2.1,270,0.0,1.205,-1.72,open
824882,open-meteo-forecast,2026-08-14T23:00,36.1,35,980.1,3.97,304,0.0,3.706,-1.423,open
824884,open-meteo-forecast,2026-08-15T23:00,35.3,40,983.2,2.34,320,0.1,2.331,-0.204,open
824880,open-meteo-forecast,2026-08-16T17:00,35.3,43,983.9,1.91,227,0.0,-0.266,-1.891,open
824881,open-meteo-forecast,2026-08-25T23:00,26.2,24,978.9,3.41,85,0.0,-1.705,2.953,open
824399,open-meteo-forecast,2026-08-14T23:00,23.1,49,997.9,2.78,38,0.0,-2.191,-1.712,open
824400,open-meteo-forecast,2026-08-15T23:00,24.4,56,997.3,1.28,129,0.0,0.806,-0.995,open
824397,open-meteo-forecast,2026-08-16T17:00,27.7,78,988.4,4.03,256,0.0,0.975,3.91,open
824398,open-meteo-forecast,2026-08-18T22:00,22.4,58,991.8,1.98,315,0.0,-1.4,1.4,open
824394,open-meteo-forecast,2026-08-19T22:00,25.4,64,990.5,3.83,229,0.1,2.513,2.891,open
824395,open-meteo-forecast,2026-08-20T17:00,24.2,56,993.3,3.24,304,0.0,-1.812,2.686,open
822859,open-meteo-forecast,2026-08-19T00:00,42.1,18,989.7,4.3,180,0.0,3.724,-2.15,retractable
822860,open-meteo-forecast,2026-08-20T00:00,42.8,17,988.9,4.32,167,0.0,3.159,-2.946,retractable
