game_pk,game_date,player_id,role,is_home,pitches,batters_faced,swings,whiffs,called_strikes,in_zone,batted_balls,barrels,xwoba_sum,xwoba_denom,woba_sum,woba_denom,launch_speed_sum,launch_speed_count,release_speed_sum,release_speed_count,spin_rate_sum,spin_rate_count,delta_run_exp_sum
823812,2026-03-26,676879,pitcher,1.0,11,3.0,5.0,3.0,3.0,6.0,1.0,0.0,0.359,3.0,0.0,3.0,162.3,2.0,998.9,11.0,27021.0,11.0,-0.779
823812,2026-03-26,681343,pitcher,0.0,54,11.0,23.0,5.0,12.0,25.0,6.0,0.0,3.313088,10.0,5.5,11.0,1242.8,16.0,5049.4,54.0,108096.0,54.0,1.2060000000000002
823812,2026-03-26,681982,pitcher,1.0,7,3.0,5.0,2.0,2.0,5.0,2.0,0.0,0.5820000000000001,3.0,0.0,3.0,244.9,3.0,611.2,7.0,17260.0,7.0,-0.779
823812,2026-03-26,694819,pitcher,1.0,95,20.0,43.0,25.0,14.0,36.0,6.0,1.0,5.363632000000001,20.0,5.0,20.0,1218.1,15.0,8988.3,94.0,238484.0,94.0,-1.167
823812,2026-03-26,699151,pitcher,0.0,36,8.0,19.0,4.0,3.0,15.0,6.0,1.0,3.665088,8.0,4.3,8.0,1229.5,15.0,3152.0,36.0,79682.0,36.0,1.798
823974,2026-03-26,595014,pitcher,1.0,15,4.0,7.0,4.0,1.0,6.0,3.0,0.0,0.6839999999999999,4.0,0.9,4.0,272.8,3.0,1337.2,15.0,36490.0,15.0,-0.377
823974,2026-03-26,656945,pitcher,1.0,8,3.0,4.0,1.0,3.0,6.0,3.0,0.0,0.18,3.0,0.0,3.0,261.6,3.0,741.7,8.0,20947.0,8.0,-0.779
823974,2026-03-26,657044,pitcher,0.0,11,3.0,6.0,1.0,3.0,6.0,2.0,0.0,0.533,3.0,0.0,3.0,373.1,5.0,928.0,11.0,24002.0,11.0,-0.779
823974,2026-03-26,664199,pitcher,0.0,16,5.0,5.0,0.0,5.0,10.0,4.0,2.0,4.604479,5.0,4.85,5.0,470.1,5.0,1450.3,16.0,33013.0,16.0,2.906
823974,2026-03-26,666661,pitcher,0.0,17,5.0,7.0,3.0,3.0,10.0,3.0,0.0,1.237544,5.0,1.6,5.0,248.7,3.0,1608.4,17.0,39865.0,17.0,-0.0459999999999999
823974,2026-03-26,668678,pitcher,0.0,76,19.0,36.0,9.0,11.0,34.0,15.0,3.0,9.247088,19.0,7.0,19.0,2299.4,26.0,6863.5,76.0,170199.0,76.0,0.3669999999999997
823974,2026-03-26,694361,pitcher,1.0,9,3.0,4.0,2.0,4.0,6.0,2.0,0.0,0.354,3.0,0.0,3.0,152.89999999999998,2.0,821.9,9.0,20436.0,9.0,-0.78
823974,2026-03-26,694851,pitcher,0.0,33,8.0,11.0,1.0,3.0,12.0,5.0,0.0,3.250567,8.0,3.0,8.0,744.4,9.0,2984.9,33.0,57173.0,33.0,0.233
823974,2026-03-26,808967,pitcher,1.0,95,21.0,48.0,16.0,15.0,43.0,15.0,1.0,5.878,21.0,5.95,21.0,2451.9,29.0,8519.2,95.0,205740.0,95.0,-1.087
824218,2026-03-26,519141,pitcher,0.0,12,3.0,6.0,0.0,2.0,8.0,3.0,0.0,0.864,3.0,0.0,3.0,511.0,6.0,1094.3,12.0,29990.0,12.0,-0.78
824218,2026-03-26,605447,pitcher,0.0,12,4.0,3.0,1.0,3.0,4.0,2.0,0.0,1.0705440000000002,4.0,0.7,4.0,122.2,2.0,1070.8,12.0,27185.0,12.0,-0.459
824218,2026-03-26,667755,pitcher,0.0,95,24.0,46.0,19.0,14.0,36.0,13.0,0.0,5.540632,23.0,4.65,23.0,2242.8,26.0,8578.4,91.0,204470.0,91.0,-2.774
824218,2026-03-26,681217,pitcher,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.092,1.0,0.0,1.0,80.2,1.0,86.8,1.0,1106.0,1.0,-0.285
824218,2026-03-26,685005,pitcher,1.0,33,6.0,11.0,3.0,5.0,14.0,3.0,1.0,3.811088,6.0,3.4,6.0,635.0,8.0,3101.8,33.0,71974.0,33.0,1.382
